amount,hour,is_first_time,velocity,bin_count,amount_vs_avg,label
1398914,14,0,0,1,1.73,0
2240845,20,0,0,1,1.44,0
2854346,14,1,0,1,1.53,0
7423302,3,1,4,5,3.44,1
1338046,13,0,0,2,0.91,0
21663605,0,0,4,8,7.69,1
2665978,13,0,0,1,0.79,0
1392771,13,0,0,1,1.68,0
759201,18,0,0,2,1.69,0
35642291,3,1,8,8,6.12,1
1565509,22,1,0,1,1.48,0
3040936,21,0,0,1,1.33,0
22612882,5,0,3,10,7.24,1
303313,8,1,0,1,0.6,0
1532671,17,0,0,1,1.08,0
4750571,10,0,0,1,1.07,0
4475329,12,0,0,1,1.02,0
878964,19,0,0,1,1.46,0
2355715,16,1,0,1,0.77,0
21496250,5,1,5,7,4.26,1
3498237,22,0,0,1,0.59,0
2814331,16,0,0,1,0.58,0
39529722,4,0,8,9,4.02,1
3775266,12,0,0,1,1.37,0
2324702,20,0,0,2,1.23,0
1702648,19,0,0,1,0.55,0
4319419,15,0,0,1,1.78,0
27968124,1,1,3,8,3.72,1
659306,15,1,1,1,0.69,0
21041963,2,0,6,7,5.08,1
41570333,5,1,7,5,5.73,1
3010559,14,0,0,2,1.57,0
3651928,13,1,0,1,1.1,0
3619315,16,0,0,1,1.12,0
3191861,21,0,0,1,1.94,0
1625042,14,0,0,2,1.92,0
4392208,8,0,1,1,1.63,0
3510599,11,0,0,2,1.79,0
5160448,2,1,7,6,6.59,1
1149717,16,0,0,1,1.83,0
906880,15,0,0,1,1.24,0
2333927,19,0,0,1,1.59,0
2386629,13,0,0,1,0.58,0
3326020,0,1,4,9,3.91,1
1592960,20,0,0,1,0.9,0
3814176,11,1,0,1,1.92,0
2983961,17,0,0,1,1.86,0
3531843,14,0,1,1,1.84,0
4335089,12,0,0,1,0.63,0
1487717,15,0,1,1,1.93,0
1003963,22,0,0,1,1.24,0
45628755,2,1,5,9,6.01,1
1779553,13,0,0,1,1.14,0
3794868,22,0,0,1,1.46,0
3710670,15,1,0,1,1.62,0
762802,9,0,0,1,1.69,0
1624332,12,0,0,1,1.75,0
3106740,21,0,0,1,1.39,0
452692,11,0,0,1,1.98,0
1166146,10,0,0,1,1.45,0
1959421,17,0,1,2,0.99,0
3578677,15,1,1,1,0.79,0
3593054,10,0,1,1,1.2,0
48502758,3,1,3,9,7.28,1
854446,12,1,1,1,1.72,0
13492640,3,1,5,8,5.17,1
3154857,19,0,0,1,1.64,0
323437,12,1,0,1,1.32,0
3134402,11,0,0,1,0.51,0
2259823,16,0,1,1,1.11,0
570136,13,1,0,1,1.4,0
4569328,11,0,0,2,0.88,0
2022145,10,1,0,1,1.79,0
1603169,16,0,0,1,1.68,0
1583221,8,0,0,1,0.7,0
14746474,2,1,6,4,4.57,1
2884752,21,0,0,1,0.65,0
21745479,3,1,7,5,6.23,1
4211926,20,0,0,1,0.92,0
1315588,22,0,1,1,1.14,0
1870801,13,0,0,1,0.54,0
3826379,15,0,0,1,1.62,0
1340870,19,0,0,2,1.01,0
988143,14,0,0,1,0.72,0
865967,18,0,0,2,0.78,0
3617331,16,0,0,1,1.01,0
3672849,20,0,1,1,1.26,0
10930697,5,1,8,6,5.09,1
27324128,2,0,5,10,7.8,1
43698042,3,1,4,8,6.86,1
1494349,15,0,0,1,0.92,0
2208904,20,0,0,1,0.9,0
44059550,4,1,8,10,3.04,1
20016760,5,1,8,8,4.61,1
16439239,5,0,3,5,6.48,1
2492898,13,0,0,1,1.62,0
903203,9,1,0,2,0.59,0
3432628,20,1,0,1,1.15,0
1815238,2,1,5,6,4.07,1
2206178,9,0,0,2,0.84,0
2800540,12,0,0,1,1.63,0
1087772,8,0,0,1,0.54,0
2138481,11,1,1,1,1.02,0
2887868,8,0,1,1,0.67,0
2961882,14,1,0,2,1.06,0
3003268,9,0,0,1,1.41,0
267544,11,1,0,1,0.62,0
2177182,14,0,0,2,0.89,0
2835191,18,0,0,1,1.39,0
1109141,21,1,1,1,1.36,0
1951396,17,0,0,1,1.99,0
3331864,19,0,0,1,1.68,0
27128566,5,0,6,8,4.97,1
111929,10,0,0,1,1.78,0
3044303,19,0,0,1,0.86,0
39669209,5,1,7,7,4.68,1
2785299,20,0,0,2,0.86,0
13467100,1,0,3,9,3.67,1
1047549,21,0,1,1,0.83,0
1119387,11,0,0,1,1.65,0
35709797,3,0,7,9,4.94,1
1806530,11,0,0,1,1.45,0
4391932,16,0,0,1,1.04,0
389649,16,0,0,2,1.17,0
38222171,3,0,6,9,4.43,1
3543452,18,0,0,1,1.88,0
2647033,15,0,0,2,1.26,0
115966,20,0,1,1,1.19,0
3759058,21,0,0,1,0.78,0
45943334,1,1,4,4,4.31,1
4211436,12,0,0,1,1.01,0
1829233,9,0,0,1,0.79,0
24149420,2,1,7,4,5.16,1
1553322,8,0,0,1,1.58,0
14272682,1,0,4,6,3.05,1
2522849,18,0,0,1,0.83,0
1985239,9,0,0,1,1.6,0
4725970,17,1,0,1,1.8,0
14270302,3,1,8,10,6.77,1
831443,18,0,0,1,1.79,0
3178606,9,0,0,1,1.35,0
2592923,5,0,6,4,4.36,1
3478551,16,0,1,1,1.09,0
4262867,12,1,0,1,0.75,0
11164116,4,1,3,10,5.63,1
1250978,12,1,0,2,1.59,0
17139964,5,1,7,8,3.48,1
1642334,15,0,0,1,1.76,0
2624554,20,0,0,1,1.21,0
1613963,21,0,0,2,1.28,0
1182294,10,0,0,1,0.99,0
2675671,19,0,0,1,1.29,0
3987727,17,0,0,1,1.63,0
1254078,8,0,0,1,1.11,0
3978791,16,0,0,1,0.78,0
4145795,0,0,8,7,6.01,1
716645,13,0,0,1,0.53,0
3017679,3,1,7,4,6.62,1
30530362,2,0,7,5,6.19,1
712347,15,0,0,1,0.66,0
1257045,15,0,1,1,1.27,0
1316198,16,0,0,1,1.14,0
4481244,13,0,1,1,1.6,0
341540,15,0,0,1,0.78,0
2610311,12,1,0,1,1.65,0
34502640,5,1,3,9,6.01,1
899083,12,0,0,1,1.51,0
409226,20,0,0,1,1.09,0
1309378,11,0,1,1,1.18,0
412267,0,1,3,7,4.24,1
4177318,17,0,0,2,1.98,0
1012366,12,0,0,1,1.49,0
1489777,17,0,0,1,0.71,0
767307,5,0,3,5,5.3,1
1115629,22,0,0,1,1.5,0
41909549,0,0,3,7,4.92,1
1384471,17,0,0,1,0.81,0
3314455,18,0,0,1,1.42,0
328861,12,0,0,2,0.58,0
3407003,10,0,0,2,1.48,0
1072148,11,0,0,1,1.96,0
4008924,17,0,0,1,1.04,0
2684632,9,0,0,2,1.94,0
3669572,18,1,0,1,1.07,0
1202042,18,0,0,2,1.7,0
2622967,19,1,0,1,1.24,0
865387,9,0,0,1,1.52,0
2685571,22,0,0,1,1.59,0
3833516,16,0,0,1,1.93,0
1252528,13,0,0,1,1.91,0
1154669,18,0,0,1,0.84,0
156504,17,0,0,1,1.34,0
2516544,8,0,1,1,0.83,0
1856772,12,1,0,1,1.39,0
34474682,4,0,8,8,4.48,1
2174936,21,0,0,1,0.53,0
247849,20,0,0,1,1.25,0
1679278,15,0,0,1,0.93,0
1383017,9,0,1,1,1.84,0
1089418,9,0,0,2,1.51,0
4571904,8,0,0,1,1.69,0
282869,13,0,0,2,0.73,0
3182243,20,0,0,1,1.81,0
812765,13,0,0,1,1.21,0
2718640,13,0,0,1,1.66,0
2036481,21,0,0,1,0.65,0
2528625,21,0,0,1,1.54,0
2801309,15,0,0,1,0.71,0
1154958,18,0,0,1,1.67,0
4340469,21,0,0,1,1.17,0
256774,22,0,0,2,1.71,0
45964350,3,1,6,4,5.82,1
4601686,10,1,0,1,1.12,0
45528720,5,1,3,6,3.12,1
1860959,19,1,1,1,0.92,0
3526440,10,0,0,1,0.94,0
42787467,2,0,8,7,5.01,1
3334953,11,0,0,1,0.72,0
1063720,22,0,0,1,0.83,0
2571767,22,0,1,1,1.04,0
11866009,5,1,7,9,7.79,1
1036492,22,1,0,1,1.23,0
3622687,18,0,0,1,1.42,0
1342556,21,1,0,1,1.35,0
4600382,21,1,0,1,1.15,0
29401053,5,1,8,6,5.23,1
3870723,17,1,0,1,1.61,0
4062568,16,1,0,1,0.83,0
3537561,17,0,0,1,1.15,0
42804921,4,0,6,7,3.08,1
1420595,13,0,0,1,1.26,0
848110,18,0,0,1,0.53,0
22701541,5,0,6,7,6.81,1
5436646,3,1,5,7,5.49,1
36700695,2,0,7,4,4.64,1
29101386,5,0,8,9,4.14,1
2835117,22,0,0,1,1.61,0
1953079,17,1,0,1,1.55,0
4856703,15,0,0,1,2,0
32911072,3,1,6,5,3.59,1
4623932,15,1,0,1,1.86,0
194060,15,0,0,1,0.83,0
37601919,5,1,3,10,3.7,1
2913597,1,0,7,6,4.36,1
31801061,4,1,6,9,4.17,1
4156342,11,1,1,1,1.87,0
1396962,14,0,1,1,0.74,0
2193129,14,0,0,1,1.42,0
3705780,12,0,0,1,0.84,0
2430206,21,0,0,1,1.4,0
38195402,1,1,5,8,6.52,1
34210818,3,1,8,8,3.98,1
1937424,19,0,0,1,1.63,0
4777515,13,0,0,1,0.86,0
2143745,21,0,0,1,1.33,0
2547163,8,0,0,1,1.14,0
26289266,5,1,8,4,3.25,1
3190184,12,0,0,1,0.59,0
1178287,13,1,0,1,0.84,0
4945988,12,0,0,1,1.36,0
41815923,2,0,8,5,3.28,1
1957258,20,0,0,1,1.48,0
34906960,4,0,4,8,7.72,1
3973007,15,0,0,1,1.99,0
622543,9,1,0,1,1.13,0
2242642,8,1,1,1,1.93,0
304830,20,1,0,1,1.31,0
3074120,8,0,0,2,0.63,0
4257627,14,1,0,1,0.64,0
41902555,2,1,4,10,6.44,1
755239,10,0,0,2,0.98,0
230550,16,1,1,1,1.35,0
4637544,4,1,7,9,7.95,1
1416118,19,0,0,1,1.01,0
1552193,20,1,0,1,1.21,0
3351649,18,0,0,1,0.94,0
2328073,21,0,0,1,1.39,0
1726485,20,1,0,1,1.97,0
23719549,1,1,4,4,3.44,1
1172154,14,0,0,1,1.66,0
3848604,10,0,0,1,1.15,0
1864858,16,0,0,1,1.6,0
11779392,4,0,5,4,3.9,1
3023272,5,1,4,5,4.4,1
553806,14,1,0,1,0.85,0
4454149,16,0,1,1,0.93,0
4294354,11,0,0,1,1.02,0
4415741,14,0,1,1,1.34,0
3121789,8,0,0,1,1.11,0
1982460,13,0,1,1,1.51,0
3917269,20,0,1,1,1.93,0
690556,12,1,1,1,1.7,0
2149292,22,0,0,1,1.98,0
973441,22,0,0,1,0.74,0
3111740,8,1,0,1,1.44,0
3778494,19,0,0,1,1.22,0
2040847,12,0,0,1,1.97,0
1760528,22,0,0,1,1.88,0
2804795,18,0,0,1,1.3,0
4123373,18,0,0,1,1.29,0
4746710,8,0,1,1,1.27,0
41668816,5,1,5,6,5.82,1
1789011,1,1,3,4,7.19,1
4260805,11,1,1,1,1.17,0
2608778,21,0,0,1,0.57,0
4037045,12,0,0,1,1.8,0
4431872,22,0,0,1,1.22,0
1003382,19,0,0,1,1.09,0
3224164,21,0,0,1,0.7,0
3837416,8,0,0,1,1.87,0
473005,8,0,0,1,1.35,0
2726389,8,0,0,1,1.35,0
3112348,10,0,0,1,0.63,0
1755446,21,0,0,1,1.84,0
2374071,15,0,0,1,0.87,0
919547,13,0,0,1,1.94,0
4685630,21,0,0,1,1.27,0
4869919,13,0,1,1,1.54,0
9120668,2,1,4,6,5.07,1
1978887,10,1,1,1,1.38,0
1850235,11,0,0,1,0.64,0
2162024,15,0,0,1,0.66,0
2579563,11,0,0,1,0.8,0
21891250,0,1,3,5,3.16,1
3637010,20,0,0,1,1.62,0
25363470,2,0,6,6,5.32,1
3833135,19,0,1,1,1.18,0
2007775,13,0,0,1,1.16,0
4790858,20,0,0,1,0.61,0
988336,21,1,0,1,1.68,0
17794650,2,0,3,10,5.66,1
1727184,18,1,0,1,0.84,0
3117528,0,1,6,10,5.42,1
1309607,17,0,0,1,1.33,0
3968519,18,0,0,1,0.84,0
2933363,12,0,1,1,1.83,0
1532054,13,0,0,1,1.77,0
2624718,9,1,0,1,1.91,0
3721513,8,0,0,1,1.89,0
897960,20,0,0,1,0.78,0
3759384,13,1,0,1,1.48,0
35277818,5,1,3,6,3.59,1
4355582,14,0,0,1,1.78,0
116452,17,0,0,1,1.66,0
2976765,19,0,0,1,1,0
48075743,4,0,5,8,3.44,1
938564,12,1,0,2,1.28,0
737458,8,0,0,2,0.56,0
1106053,15,0,0,1,0.9,0
48668567,0,1,8,9,7.7,1
1544045,12,0,0,1,1.85,0
1298281,14,0,0,1,1.98,0
3733599,13,0,0,1,0.58,0
4313442,15,0,0,1,1.05,0
3912778,10,0,1,1,0.72,0
1728617,8,0,0,1,1.19,0
4133385,12,0,0,1,1.95,0
46256359,2,0,7,9,6.79,1
2975160,13,0,0,1,0.71,0
1638942,19,0,0,1,1.88,0
1776475,11,0,0,1,1.75,0
4583628,10,0,1,1,1.67,0
1665186,18,0,0,1,1.62,0
2159585,13,0,0,1,1.31,0
1859504,15,0,0,1,1.08,0
998972,19,1,0,1,1.37,0
16771838,5,1,8,6,6.06,1
3943826,17,0,0,1,1.35,0
3852702,8,1,0,1,1.63,0
341943,16,0,0,1,1.21,0
3938275,8,0,0,2,0.75,0
12822125,3,1,5,5,6.52,1
621202,14,1,0,1,1.92,0
3989683,16,0,1,1,1.45,0
1020736,10,0,0,1,1.65,0
22269069,3,1,3,6,7.16,1
1698339,10,0,0,1,0.52,0
4173431,15,1,0,1,1.82,0
3878539,20,0,1,1,1.68,0
216072,19,0,0,1,1.65,0
1741338,13,0,0,1,1.39,0
2224262,14,0,0,1,1.51,0
3934923,9,1,0,1,0.95,0
367094,19,1,0,2,1.05,0
4162720,21,0,0,1,1.43,0
4365313,11,0,1,1,1.83,0
587177,22,1,0,1,1.68,0
1198812,13,0,0,1,1.3,0
2426726,8,0,0,1,0.78,0
3569848,13,1,0,1,1.05,0
1211058,11,0,0,1,1.53,0
475763,12,1,0,1,1.95,0
3755966,19,0,0,1,0.72,0
4007593,13,0,0,1,1.63,0
1272336,14,0,0,1,1.17,0
3550956,22,0,0,1,1.47,0
4937693,17,0,0,2,1.43,0
670970,9,0,0,1,1.59,0
3503006,11,0,0,1,1.95,0
23358384,4,1,4,6,7.51,1
18724206,0,1,3,10,5.35,1
4112356,9,0,1,1,0.76,0
4670104,8,0,0,1,1.96,0
3528965,15,0,0,1,1.6,0
3282825,17,1,0,1,0.54,0
4403275,20,1,0,1,1.97,0
4849027,12,0,0,1,1.09,0
4772460,18,0,0,1,1.99,0
2413259,20,0,0,1,1.8,0
1637428,20,1,0,1,0.51,0
23545211,0,1,6,10,7.41,1
852671,16,0,0,1,1.59,0
40023100,4,1,7,5,5,1
49215295,0,1,4,5,6.89,1
2794901,11,0,0,1,0.85,0
1833592,12,0,0,1,1.77,0
4715186,17,1,0,1,1.42,0
28028023,2,1,4,9,6.36,1
4629536,14,0,0,1,1.22,0
3232518,10,0,0,1,1.9,0
3194039,11,0,0,1,0.92,0
31265667,3,0,6,9,7.38,1
1116801,18,0,0,1,0.8,0
3743075,20,0,0,1,1.31,0
3969350,12,0,0,1,1.61,0
2813307,12,1,0,1,1.44,0
4930566,18,0,0,1,0.6,0
